"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C5,C6,C7,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33","18","100nF","","","","",""
"C3,C4","2","33pF","","","","",""
"C8,C9","2","0.1uF","","","","",""
"C20","1","10uF","","","","",""
"J1,J3,S2,U1,U15,U17,Y1","7","~","","","","","file:///Users/apetitco/Documents/Module Elec - Lily's Pad/Datasheets/U - Integrated Circuits/MCU/ATmega_2560.pdf,file:///Users/apetitco/Documents/Module Elec - Lily's Pad/Datasheets/U - Integrated Circuits/Screen Drivers/GC9A01A.pdf,file:///Users/apetitco/Documents/Module Elec - Lily's Pad/Datasheets/Y - Crystals and Oscillators/SOSET_S47SMD16.000M20PF20R30B3.pdf"
"J2","1","USB-C","","","","","file:///Users/apetitco/Documents/Module Elec - Lily's Pad/Datasheets/U - Integrated Circuits/Voltage Regulators/JSMSEMI_AMS1117-3.3V.pdf"
"J4","1","2X4 Header","","","","",""
"R1,R8,R9,R10,R11","5","10kΩ","","","","",""
"R2,R3","2","5.1kΩ","","","","",""
"U8","1","CH340C","","","","lilys_pad:CH340C","file:///Users/apetitco/Documents/Module Elec - Lily's Pad/Datasheets/U - Integrated Circuits/CH340C.pdf"
"U10","1","JSMSEMI AMS1117-3.3V","","","","","file:///Users/apetitco/Documents/Module Elec - Lily's Pad/Datasheets/U - Integrated Circuits/Voltage Regulators/JSMSEMI_AMS1117-3.3V.pdf"
"U11,U13,U16","3","TI TXB0104DR","","","","","file:///home/apetitco/Documents/school/42Chips/module/Datasheets/U - Integrated Circuits/Level Shifters/7ebf70d32255e71aa643aae8d62d2a45.pdf"
"U12","1","ILI9488","","","","",""
"U14","1","SD Card Socket","","","","",""
