Designator,Mid X,Mid Y,Rotation,Layer
D1,145.625,-43.5,0.0,top
P1,28.18,-42.5,90.0,top
R1,217.0,-76.0,0.0,top
R2,199.5,-65.0875,270.0,top
R3,203.5,-70.0,90.0,top
R4,145.5875,-47.5,0.0,top
SW1,36.0,-83.25,90.0,top
SW10,193.5,-83.25,90.0,top
SW11,36.0,-104.25,90.0,top
SW12,53.5,-104.25,90.0,top
SW13,71.0,-104.25,90.0,top
SW14,88.5,-104.25,90.0,top
SW15,106.0,-104.25,90.0,top
SW16,123.5,-104.25,90.0,top
SW17,141.0,-104.25,90.0,top
SW18,158.5,-104.25,90.0,top
SW19,176.0,-104.25,90.0,top
SW2,53.5,-83.25,90.0,top
SW20,193.5,-104.25,90.0,top
SW21,36.0,-125.25,90.0,top
SW22,53.5,-125.25,90.0,top
SW23,71.0,-125.25,90.0,top
SW24,88.5,-125.25,90.0,top
SW25,106.0,-125.25,90.0,top
SW26,123.5,-125.25,90.0,top
SW27,141.0,-125.25,90.0,top
SW28,158.5,-125.25,90.0,top
SW29,176.0,-125.25,90.0,top
SW3,71.0,-83.25,90.0,top
SW30,200.5,-125.25,90.0,top
SW31,53.5,-146.25,90.0,top
SW32,71.0,-146.25,90.0,top
SW33,88.5,-146.25,90.0,top
SW34,106.0,-146.25,90.0,top
SW35,123.5,-146.25,90.0,top
SW36,141.0,-146.25,90.0,top
SW37,158.5,-146.25,90.0,top
SW38,207.5,-154.0,90.0,top
SW39,147.0,-57.85,0.0,top
SW4,88.5,-83.25,90.0,top
SW41,177.75,-56.0,180.0,top
SW5,106.0,-83.25,90.0,top
SW6,123.5,-83.25,90.0,top
SW7,141.0,-83.25,90.0,top
SW8,158.5,-83.25,90.0,top
SW9,176.0,-83.25,90.0,top
U2,217.85,-62.055,270.0,top
